TransactionID|OrderID|CustomerName|ProductName|OrderDate|ShipDate|ShipMode|SalesAmount,,,,,
1792|CA-2015-120474|Resi Pölking|Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat|2015-01-12|2015-03-12|First Class|2807.84,,,,,
1793|CA-2015-120474|Resi Pölking|Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black|2015-01-12|2015-03-12|First Class|46.64,,,,
2076|CA-2015-131051|Toby Ritter|Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts|2015-01-12|2015-05-12|Standard Class|58.2,,,
3199|CA-2015-131527|Toby Braunhardt|BlueLounge Milo Smartphone Stand, White/Metallic|2015-01-12|2015-07-12|Standard Class|95.968,,,,
4492|CA-2015-150798|Joe Kamberova|Sharp 1540cs Digital Laser Copier|2015-01-12|2015-03-12|Second Class|659.988,,,,,
4493|CA-2015-150798|Joe Kamberova|Master Caster Door Stop, Brown|2015-01-12|2015-03-12|Second Class|8.128,,,,
4494|CA-2015-150798|Joe Kamberova|Xerox 214|2015-01-12|2015-03-12|Second Class|36.288,,,,,
4495|CA-2015-150798|Joe Kamberova|Hon Multipurpose Stacking Arm Chairs|2015-01-12|2015-03-12|Second Class|909.72,,,,,
4905|US-2015-161613|Matt Connell|Hon 4070 Series Pagoda Round Back Stacking Chairs|2015-01-12|2015-03-12|Second Class|674.058,,,,,
8004|CA-2015-143210|Anna Andreadi|Cisco IP Phone 7961G VoIP phone - Dark gray|2015-01-12|2015-03-12|First Class|271.9,,,,,
"8005|CA-2015-143210|Anna Andreadi|Linden 10"" Round Wall Clock", Black|2015-01-12|2015-03-12|First Class|45.84,,,,
8006|CA-2015-143210|Anna Andreadi|Ultra Door Push Plate|2015-01-12|2015-03-12|First Class|9.82,,,,,
764|CA-2015-162775|Chris Selesnick|Staple envelope|2015-01-13|2015-01-15|Second Class|11.36,,,,,
765|CA-2015-162775|Chris Selesnick|Brown Kraft Recycled Envelopes|2015-01-13|2015-01-15|Second Class|50.94,,,,,
766|CA-2015-162775|Chris Selesnick|Plantronics S12 Corded Telephone Headset System|2015-01-13|2015-01-15|Second Class|646.74,,,,,
767|CA-2015-162775|Chris Selesnick|3-ring staple pack|2015-01-13|2015-01-15|Second Class|5.64,,,,,
768|CA-2015-162775|Chris Selesnick|Fellowes Stor/Drawer Steel Plus Storage Drawers|2015-01-13|2015-01-15|Second Class|572.58,,,,,
2979|CA-2015-109232|Natalie DeCherney|Global Highback Leather Tilter in Burgundy|2015-01-13|2015-01-16|Second Class|545.94,,,,,
4938|CA-2015-157147|Brian Dahlen|Tennsco 6- and 18-Compartment Lockers|2015-01-13|2015-01-18|Standard Class|1325.85,,,,,
4939|CA-2015-157147|Brian Dahlen|O'Sullivan Elevations Bookcase, Cherry Finish|2015-01-13|2015-01-18|Standard Class|333.999,,,,
4940|CA-2015-157147|Brian Dahlen|4009 Highlighters by Sanford|2015-01-13|2015-01-18|Standard Class|19.9,,,,,
9629|CA-2015-118192|Michael Moore|Xerox 1923|2015-01-13|2015-01-18|Standard Class|37.408,,,,,
9630|CA-2015-118192|Michael Moore|Avery Metallic Poly Binders|2015-01-13|2015-01-18|Standard Class|3.438,,,,,
6475|CA-2015-149524|Brendan Sweed|Sauder Cornerstone Collection Library|2015-01-14|2015-01-15|First Class|61.96,,,,,
1914|CA-2015-103366|Erica Hackney|Logitech 910-002974 M325 Wireless Mouse for Web Scrolling|2015-01-15|2015-01-17|First Class|149.95,,,,,
971|CA-2015-115791|Delfina Latchford|DAX Black Cherry Wood-Tone Poster Frame|2015-01-16|2015-01-18|Second Class|127.104,,,,,
972|CA-2015-115791|Delfina Latchford|AT&T 841000 Phone|2015-01-16|2015-01-18|Second Class|124.2,,,,,
973|CA-2015-115791|Delfina Latchford|GBC Linen Binding Covers|2015-01-16|2015-01-18|Second Class|18.588,,,,,
974|CA-2015-115791|Delfina Latchford|Round Specialty Laser Printer Labels|2015-01-16|2015-01-18|Second Class|30.072,,,,,
5365|CA-2015-123477|David Wiener|Fellowes Mighty 8 Compact Surge Protector|2015-01-18|2015-01-21|Second Class|64.864,,,,,
5463|CA-2015-146591|Toby Swindell|GBC Standard Recycled Report Covers, Clear Plastic Sheets|2015-01-19|2015-01-20|First Class|32.34,,,,
5464|CA-2015-146591|Toby Swindell|TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page|2015-01-19|2015-01-20|First Class|56.064,,,,
5465|CA-2015-146591|Toby Swindell|Tyvek  Top-Opening Peel & Seel Envelopes, Plain White|2015-01-19|2015-01-20|First Class|108.72,,,,
5466|CA-2015-146591|Toby Swindell|O'Sullivan 4-Shelf Bookcase in Odessa Pine|2015-01-19|2015-01-20|First Class|181.47,,,,,
1122|US-2015-147627|Hunter Lopez|Apple iPhone 5C|2015-01-20|2015-01-26|Standard Class|699.93,,,,,
1123|US-2015-147627|Hunter Lopez|Newell 351|2015-01-20|2015-01-26|Standard Class|22.96,,,,,
1124|US-2015-147627|Hunter Lopez|Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak|2015-01-20|2015-01-26|Standard Class|38.6,,,
1125|US-2015-147627|Hunter Lopez|Newell 327|2015-01-20|2015-01-26|Standard Class|6.63,,,,,
1126|US-2015-147627|Hunter Lopez|Staple envelope|2015-01-20|2015-01-26|Standard Class|23.34,,,,,
1127|US-2015-147627|Hunter Lopez|Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms|2015-01-20|2015-01-26|Standard Class|1067.94,,,,,
5737|CA-2015-148614|Mark Van Huff|Wirebound Service Call Books," 5 1/2"" x 4""|2015-01-20|2015-01-25|Standard Class|19.36",,,,
5738|CA-2015-148614|Mark Van Huff|Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak|2015-01-20|2015-01-25|Standard Class|19.3,,,
6327|CA-2015-167927|Xylona Preis|Eldon Fold 'N Roll Cart System|2015-01-20|2015-01-26|Standard Class|13.98,,,,,
6328|CA-2015-167927|Xylona Preis|Eldon ClusterMat Chair Mat with Cordless Antistatic Protection|2015-01-20|2015-01-26|Standard Class|272.94,,,,,
6329|CA-2015-167927|Xylona Preis|Acco Pressboard Covers with Storage Hooks," 9 1/2"" x 11""", Executive Red|2015-01-20|2015-01-26|Standard Class|19.05,,,
6330|CA-2015-167927|Xylona Preis|Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter|2015-01-20|2015-01-26|Standard Class|247.716,,,
6331|CA-2015-167927|Xylona Preis|Fellowes Bases and Tops For Staxonsteel/High-Stak Systems|2015-01-20|2015-01-26|Standard Class|66.58,,,,,
6332|CA-2015-167927|Xylona Preis|Panasonic KP-4ABK Battery-Operated Pencil Sharpener|2015-01-20|2015-01-26|Standard Class|43.92,,,,,
6333|CA-2015-167927|Xylona Preis|Ultra Door Push Plate|2015-01-20|2015-01-26|Standard Class|14.73,,,,,
6334|CA-2015-167927|Xylona Preis|Storex Dura Pro Binders|2015-01-20|2015-01-26|Standard Class|29.7,,,,,
7121|US-2015-147774|Muhammed MacIntyre|GBC DocuBind TL200 Manual Binding Machine|2015-01-20|2015-01-26|Standard Class|67.194,,,,,
9156|CA-2015-102645|Ionia McGrath|Xerox 195|2015-01-23|2015-01-28|Standard Class|40.08,,,,,
2579|US-2015-155502|Shirley Daniels|GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack|2015-01-26|2015-01-31|Standard Class|62.82,,,
2580|US-2015-155502|Shirley Daniels|SAFCO Commercial Wire Shelving, 72h|2015-01-26|2015-01-31|Standard Class|489.92,,,,
"2581|US-2015-155502|Shirley Daniels|Eureka Recycled Copy Paper 8 1/2"" x 11""", Ream|2015-01-26|2015-01-31|Standard Class|19.44,,,,
2582|US-2015-155502|Shirley Daniels|REDIFORM Incoming/Outgoing Call Register," 11"" X 8 1/2""", 100 Messages|2015-01-26|2015-01-31|Standard Class|16.68,,,
2583|US-2015-155502|Shirley Daniels|Macally Suction Cup Mount|2015-01-26|2015-01-31|Standard Class|155.35,,,,,
2584|US-2015-155502|Shirley Daniels|Eldon Image Series Black Desk Accessories|2015-01-26|2015-01-31|Standard Class|12.42,,,,,
2585|US-2015-155502|Shirley Daniels|Jabra SPEAK 410|2015-01-26|2015-01-31|Standard Class|187.98,,,,,
8150|CA-2015-167997|Carol Adams|Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders|2015-01-26|2015-01-29|First Class|10.68,,,,,
8151|CA-2015-167997|Carol Adams|Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray|2015-01-26|2015-01-29|First Class|141.96,,,
3795|US-2015-117163|Ed Jacobs|Recycled Steel Personal File for Hanging File Folders|2015-01-27|2015-02-02|Standard Class|57.23,,,,,
3796|US-2015-117163|Ed Jacobs|Balt Split Level Computer Training Table|2015-01-27|2015-02-02|Standard Class|333,,,,,
3797|US-2015-117163|Ed Jacobs|Dixon Ticonderoga Core-Lock Colored Pencils|2015-01-27|2015-02-02|Standard Class|36.44,,,,,
3084|CA-2015-100328|Jasper Cacioppo|Pressboard Covers with Storage Hooks," 9 1/2"" x 11""", Light Blue|2015-01-28|2015-03-02|Standard Class|3.928,,,
6388|CA-2015-134103|Mike Vittorini|Xerox 1972|2015-01-30|2015-04-02|Standard Class|10.56,,,,,
6389|CA-2015-134103|Mike Vittorini|Space Solutions HD Industrial Steel Shelving.|2015-01-30|2015-04-02|Standard Class|229.94,,,,,
3366|CA-2015-115161|Liz Carlisle|Sauder Facets Collection Library, Sky Alder Finish|2015-01-31|2015-02-02|First Class|290.666,,,,
1704|CA-2015-139857|Cynthia Delaney|Staples|2015-02-02|2015-06-02|Standard Class|12.35,,,,,
9138|CA-2015-123400|Eric Barreto|Surelock Post Binders|2015-02-02|2015-09-02|Standard Class|18.336,,,,,
9139|CA-2015-123400|Eric Barreto|AT&T 17929 Lendline Telephone|2015-02-02|2015-09-02|Standard Class|180.96,,,,,
6058|CA-2015-107524|Kristina Nunn|Staple envelope|2015-02-03|2015-08-03|Standard Class|11.36,,,,,
6059|CA-2015-107524|Kristina Nunn|Array Parchment Paper, Assorted Colors|2015-02-03|2015-08-03|Standard Class|36.4,,,,
5683|CA-2015-164315|Rob Dowd|Xerox 1990|2015-02-04|2015-08-04|Standard Class|15.84,,,,,
5684|CA-2015-164315|Rob Dowd|Motorola Droid Maxx|2015-02-04|2015-08-04|Standard Class|1049.93,,,,,
5685|CA-2015-164315|Rob Dowd|Euro-Pro Shark Turbo Vacuum|2015-02-04|2015-08-04|Standard Class|154.9,,,,,
8827|US-2015-157847|Sam Craven|Xerox 1898|2015-02-04|2015-06-04|Second Class|26.72,,,,,
8828|US-2015-157847|Sam Craven|Xerox 1947|2015-02-04|2015-06-04|Second Class|33.488,,,,,
8920|CA-2015-160276|Anna Häberlin|Luxo Adjustable Task Clamp Lamp|2015-02-04|2015-08-04|Standard Class|177.68,,,,,
5825|CA-2015-115056|Andrew Roberts|Belkin 6 Outlet Metallic Surge Strip|2015-02-05|2015-02-05|Same Day|26.136,,,,,
7037|CA-2015-124618|Cari Schnelling|Brother DCP1000 Digital 3 in 1 Multifunction Machine|2015-02-05|2015-04-05|Second Class|479.984,,,,,
719|CA-2015-104472|Christine Kargatis|GBC Standard Therm-A-Bind Covers|2015-02-06|2015-07-06|Standard Class|59.808,,,,,
720|CA-2015-104472|Christine Kargatis|Aluminum Document Frame|2015-02-06|2015-07-06|Standard Class|73.32,,,,,
3888|CA-2015-100895|Stewart Visinsky|Sanford Colorific Scented Colored Pencils, 12/Pack|2015-02-06|2015-06-06|Standard Class|8.56,,,,
3889|CA-2015-100895|Stewart Visinsky|Mophie Juice Pack Helium for iPhone|2015-02-06|2015-06-06|Standard Class|239.97,,,,,
3890|CA-2015-100895|Stewart Visinsky|Hot File 7-Pocket, Floor Stand|2015-02-06|2015-06-06|Standard Class|356.94,,,,
2733|CA-2015-107594|Eric Hoffmann|Logitech B530 USB Headset - headset - Full size, Binaural|2015-02-07|2015-06-07|Standard Class|73.98,,,,
2734|CA-2015-107594|Eric Hoffmann|DIXON Ticonderoga Erasable Checking Pencils|2015-02-07|2015-06-07|Standard Class|5.58,,,,,
6173|US-2015-106299|Nick Zandusky|Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders|2015-02-08|2015-08-08|Standard Class|26.7,,,,,
6174|US-2015-106299|Nick Zandusky|Memorex Micro Travel Drive 4 GB|2015-02-08|2015-08-08|Standard Class|21.2,,,,,
6175|US-2015-106299|Nick Zandusky|Smead Adjustable Mobile File Trolley with Lockable Top|2015-02-08|2015-08-08|Standard Class|838.38,,,,,
2925|CA-2015-157721|Justin MacKendrick|Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter|2015-02-09|2015-05-09|First Class|19.9,,,,
2926|CA-2015-157721|Justin MacKendrick|Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats|2015-02-09|2015-05-09|First Class|70.71,,,,
4404|CA-2015-127936|Clay Ludtke|SANFORD Major Accent Highlighters|2015-02-09|2015-04-09|First Class|21.24,,,,,
4930|US-2015-138828|Katherine Ducich|Newell 324|2015-02-09|2015-03-09|First Class|57.75,,,,,
4931|US-2015-138828|Katherine Ducich|Easy-staple paper|2015-02-09|2015-03-09|First Class|14.94,,,,,
5029|CA-2015-151792|Christina VanderZanden|Logitech Wireless Performance Mouse MX for PC and Mac|2015-02-09|2015-07-09|Second Class|239.976,,,,,
7289|CA-2015-158281|Andy Gerbode|Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop|2015-02-09|2015-07-09|Standard Class|559.71,,,,,
9034|CA-2015-152268|Sanjit Chand|GBC DocuBind TL300 Electric Binding System|2015-02-09|2015-07-09|Standard Class|1793.98,,,,,
9140|CA-2015-106971|Bryan Mills|Logitech Gaming G510s - Keyboard|2015-02-09|2015-08-09|Standard Class|475.944,,,,,
3223|CA-2015-108189|Erin Smith|Adams Telephone Message Book W/Dividers/Space For Phone Numbers," 5 1/4""X8 1/2""", 300/Messages|2015-02-10|2015-05-10|First Class|9.408,,,
3224|CA-2015-108189|Erin Smith|Staples|2015-02-10|2015-05-10|First Class|4.672,,,,,
3225|CA-2015-108189|Erin Smith|Bose SoundLink Bluetooth Speaker|2015-02-10|2015-05-10|First Class|318.4,,,,,
3226|CA-2015-108189|Erin Smith|Letter or Legal Size Expandable Poly String Tie Envelopes|2015-02-10|2015-05-10|First Class|12.768,,,,,
3227|CA-2015-108189|Erin Smith|Stiletto Hand Letter Openers|2015-02-10|2015-05-10|First Class|15.36,,,,,
3228|CA-2015-108189|Erin Smith|Pyle PMP37LED|2015-02-10|2015-05-10|First Class|230.376,,,,,
3229|CA-2015-108189|Erin Smith|Kingston Digital DataTraveler 16GB USB 2.0|2015-02-10|2015-05-10|First Class|7.16,,,,,
4524|CA-2015-107454|Roger Demir|Avery 499|2015-02-11|2015-06-11|Standard Class|34.86,,,,,
4525|CA-2015-107454|Roger Demir|Tensor Computer Mounted Lamp|2015-02-11|2015-06-11|Standard Class|89.34,,,,,
6228|CA-2015-148782|Patrick O'Brill|Logitech B530 USB Headset - headset - Full size, Binaural|2015-02-11|2015-07-11|Standard Class|88.776,,,,
6502|CA-2015-129147|Liz Carlisle|Polycom CX300 Desktop Phone USB VoIP phone|2015-02-11|2015-06-11|Standard Class|539.964,,,,,
6503|CA-2015-129147|Liz Carlisle|I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink|2015-02-11|2015-06-11|Standard Class|50.232,,,,,
6504|CA-2015-129147|Liz Carlisle|Acco D-Ring Binder w/DublLock|2015-02-11|2015-06-11|Standard Class|19.242,,,,,
7277|CA-2015-120670|Julie Kriz|Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset|2015-02-11|2015-06-11|Standard Class|799.92,,,,,
7507|CA-2015-115889|Shahid Hopkins|AT&T CL82213|2015-02-11|2015-06-11|Standard Class|46.384,,,,,
7508|CA-2015-115889|Shahid Hopkins|Adjustable Depth Letter/Legal Cart|2015-02-11|2015-06-11|Standard Class|362.92,,,,,
7577|CA-2015-134726|Steven Ward|Maxell 74 Minute CD-R Spindle, 50/Pack|2015-02-11|2015-07-11|Second Class|41.94,,,,
7578|CA-2015-134726|Steven Ward|Samsung Rugby III|2015-02-11|2015-07-11|Second Class|52.792,,,,,
708|CA-2015-112158|David Philippe|Logitech 910-002974 M325 Wireless Mouse for Web Scrolling|2015-02-12|2015-04-12|First Class|119.96,,,,,
709|CA-2015-112158|David Philippe|O'Sullivan Living Dimensions 5-Shelf Bookcases|2015-02-12|2015-04-12|First Class|883.92,,,,,
710|CA-2015-112158|David Philippe|Angle-D Binders with Locking Rings, Label Holders|2015-02-12|2015-04-12|First Class|46.72,,,,
2788|US-2015-117744|Michael Dominguez|Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black|2015-02-12|2015-06-12|Standard Class|58.36,,,
2789|US-2015-117744|Michael Dominguez|Newell 343|2015-02-12|2015-06-12|Standard Class|16.464,,,,,
2790|US-2015-117744|Michael Dominguez|12-1/2 Diameter Round Wall Clock|2015-02-12|2015-06-12|Standard Class|39.96,,,,,
4876|CA-2015-132864|Katherine Nockton|Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...|2015-02-12|2015-07-12|Standard Class|119.8,,,,,
6252|CA-2015-101147|Matt Collins|Staple holder|2015-02-12|2015-04-12|First Class|2.394,,,,,
6600|CA-2015-154095|Odella Nelson|DAX Metal Frame, Desktop, Stepped-Edge|2015-02-12|2015-07-12|Standard Class|60.72,,,
6601|CA-2015-154095|Odella Nelson|Xerox 1942|2015-02-12|2015-07-12|Standard Class|146.82,,,,,
6602|CA-2015-154095|Odella Nelson|Global Stack Chair with Arms, Black|2015-02-12|2015-07-12|Standard Class|239.84,,,,
6603|CA-2015-154095|Odella Nelson|Avery 509|2015-02-12|2015-07-12|Standard Class|15.66,,,,,
9002|CA-2015-103807|Elizabeth Moffitt|Kingston Digital DataTraveler 8GB USB 2.0|2015-02-12|2015-09-12|Standard Class|5.95,,,,,
9003|CA-2015-103807|Elizabeth Moffitt|RSVP Cards & Envelopes, Blank White," 8-1/2"" X 11""", 24 Cards/25 Envelopes/Set|2015-02-12|2015-09-12|Standard Class|15.24,,
5467|CA-2015-107706|Shui Tom|Memo Book, 100 Message Capacity, 5 3/8” x 11”|2015-02-14|2015-02-19|Second Class|16.176,,,
9762|CA-2015-121762|Marina Lichtenstein|Logitech G600 MMO Gaming Mouse|2015-02-14|2015-02-18|Standard Class|239.97,,,,,
9763|CA-2015-121762|Marina Lichtenstein|Belkin 8 Outlet Surge Protector|2015-02-14|2015-02-18|Standard Class|81.96,,,,,
9764|CA-2015-121762|Marina Lichtenstein|Compact Automatic Electric Letter Opener|2015-02-14|2015-02-18|Standard Class|238.62,,,,,
7438|CA-2015-165568|Barry Französisch|Pressboard Data Binders by Wilson Jones|2015-02-15|2015-02-19|Standard Class|21.36,,,,,
1333|CA-2015-122567|Michael Nguyen|Wilson Jones Easy Flow II Sheet Lifters|2015-02-16|2015-02-21|Standard Class|1.08,,,,,
1334|CA-2015-122567|Michael Nguyen|Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter|2015-02-16|2015-02-21|Standard Class|7.96,,,,
9516|CA-2015-154165|Delfina Latchford|Staples in misc. colors|2015-02-17|2015-02-24|Standard Class|54.208,,,,,
6082|US-2015-165589|Troy Blackwell|DAX Copper Panel Document Frame, 5 x 7 Size|2015-02-18|2015-02-18|Same Day|25.16,,,,
